.I,data,.B,.C,.N,.X
1334,mechan tediou algebra newcomb oper planetari theori comput program write gener tabl formula newcomb oper planetari theori newcomb oper express polynomi two variabl one stand simpl differenti oper arbitrari integ polynomi gener recurr scheme program code fortran use simpl array manipul techniqu perform algebra oper formula one hundr newcomb oper produc program typeset photograph five hundr sixti photon system gerard izsak barnett,1965-01-01 00:00:00,,1978-03-08 14:59:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1335,charact set optic charact recognit propos american stand ard,1965-01-01 00:00:00,,1978-03-08 15:00:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1336,npl highlight new program languag radin rogoway,1965-01-01 00:00:00,,1978-03-08 15:01:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1337,euler gener algol formal definit wirth weber,1966-12-01 00:00:00,,1978-03-30 09:11:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1338,addit comment problem concurr progam control knuth,1966-12-01 00:00:00,,1978-03-30 09:12:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1339,contribut develop algol wirth hoare,1966-12-01 00:00:00,,1978-03-30 09:13:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1340,multiplex slow peripher philosophi monitor allow slow output devic multiplex present abraham lance pearcey,1966-12-01 00:00:00,,1978-03-02 14:25:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1341,level comput system build current comput system tend break level control command commun use system break problem correspondingli continu use structur rais question effect use futur system particularli regard trend time share parallel program eventu system learn essay question pose gener attitud must take pursu problem discuss bryant,1966-12-01 00:00:00,,1978-03-02 14:29:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1342,transport problem algorithm two hundr nineti three h bayer,1966-12-01 00:00:00,,1978-03-02 14:30:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1343,havi integr algorithm two hundr fifti seven one farkas,1966-12-01 00:00:00,,1978-03-23 16:16:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1344,statist comput base upon algebra specifi model base upon machin readabl statist model relat symbol specif effici method perform calcul statist model balanc complet natur present fix mix random analysi varianc model consid procedur obtain varianc compon calcul f statist model term includ schlater hemerle,1966-12-01 00:00:00,,1978-03-02 14:33:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1345,tensor calcul comput formac program write capabl calcul variou quantiti interest tensor calculu use code christoffel symbol calcul twelv basic orthogon coordin system waltons,1966-12-01 00:00:00,,1978-03-02 14:35:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1346,applic process equal maxima obtain ration approxim certain modifi bessel function second reme algorithm origin establish polynomi may converg approxim function ration howev result know domain show effici algorithm obtain approxim small error much polynomi case best approxim nearli approach directli seri develop aim paper investig limit applic certain extens algorithm case approxim ration well present numer result gargantini,1966-12-01 00:00:00,,1978-03-02 14:39:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1347,gener time vari system error sensit program evalu propag varianc techniqu sensit time vari system initi condit paramet error involv determin sever system depend partial deriv matric requir lead separ program system investig new program util wengert differenti techniqu automat determin requir matric specif system equat suppli subroutin form execut time elimin need individu program presag develop extrem gener comput program wilkins,1966-12-01 00:00:00,,1978-03-02 14:44:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1348,flowtrac comput program flowchart program flowtrac system produc flowchart program write almost program languag one describ syntax control statement languag purpos metalanguag avail result object deck use flowchart program languag describ sever exampl fap snobol flowchart give howev necessari confin one scope exist languag one may defin languag well structur manner featur particularli use desir chart comment within program approach permit document descript remark avoid inclus code detail sherman,1966-12-01 00:00:00,,1978-03-02 14:49:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1349,comput capabl western european univers report author trip univers western europ summer one thousand nine hundr sixti six give brief descript comput activ institut visit present equip capabl vari moder larg scale howev mani institut plan acquir complex time share system near futur author opinion state art lag behind contin lag attribut four princip factor handicap organ academ procedur b univers govern financi relationship c subordin organ comput facil pauciti profession interchang knowledg effect constraint explic finerman,1966-12-01 00:00:00,,1978-03-02 14:55:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1350,augment predict analyz context free languag rel effici prove greibach give context free grammar g standard form grammar gs construct gener languag gener g whose rule form z cy one z intermedi symbol c termin symbol sinc predict analyz harvard use standard form grammar accept languag context free grammar g give equival standard form grammar gs structur descript sd gs x assign give sentenc x predict analyz howev usual differ structur descript sd g x assign sentenc origin context free grammar g gs deriv section one algorithm origin due abbott describ standard form grammar whose rule standard form supplement addit inform describ deriv origin context free grammar techniqu perform sd gs x sd g x transform effect also describ section two augment predict analyz par algorithm arbitrari context free languag compar two par algorithm select top bottom algorithm similar iron error correct par algorithm immedi constitu analyz extens sakai cock algorithm normal grammar comparison base upon sever criteria effici cover core storag requir complex program process time kunos ,1966-11-01 00:00:00,,1978-03-02 15:11:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1351,automat error bind real zero ration function procedur implement interv arithmet version newton raphson method propos procedur requir start interv zero give ration function locat method automat provid bind roundoff error dargel loscalzo witt,1966-11-01 00:00:00,,1978-03-02 15:31:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1352,automat integr function paramet two effici method automat numer integr romberg integr adapt simpson integr integrand form f x g x paramet show romberg method effici fortran program show achiev greater effici rabinowitz,1966-11-01 00:00:00,,1978-03-02 15:35:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1353,techniqu automat toler control linear program technic note numer step simplex method linear program review toler need numer procedur defin object criteria give accomplish numer step method calcul necessari toler clasen,1966-11-01 00:00:00,,1978-03-02 15:37:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1354,convers decis tabl comput program rule mark techniqu rule mask techniqu one method convert limit entri decis tabl comput program recent discuss suggest mani circumst prefer techniqu construct network tree drawback techniqu hitherto present liabil produc object program longer run time necessari paper modif techniqu discuss take account rule frequenc rel time evalu condit materi improv object program run time king,1966-11-01 00:00:00,,1978-03-02 15:41:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1355,regular coulomb wave function algorithm two hundr nineti two gautschi,1966-11-01 00:00:00,,1978-03-02 15:43:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1356,havi integr algorithm two hundr fifti seven one hillstrom,1966-11-01 00:00:00,,1978-03-23 16:19:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1357,examin schedul algorithm two hundr eighti six h williams,1966-11-01 00:00:00,,1978-03-23 16:20:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1358,syntax macro extend translat translat approach describ allow one extend syntax semant give high level base languag use new formal call syntax macro syntax macro defin string transform base syntact element base languag two type macro discuss exampl give use condit gener macro base option altern recogn scan also describ leavenworth,1966-11-01 00:00:00,,1978-03-02 15:46:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1359,data filter appli inform storag retriev applic manipul data string complex process function inform storag retriev applic data string manipul discuss within context interpret process environ control use procedur direct sequenc procedur direct deriv job assum express user orient sourc languag data string structur data environ data bank explicitli implicitli relat format declar resid format librari process mechan associ data string manipul develop accord gener data filter concept result implement two part data filter modul satisfi intern process function filter data string format declar associ input output port larsen,1966-11-01 00:00:00,,1978-03-02 15:52:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1360,descript system use data transmiss asa tutori,1966-10-01 00:00:00,,1978-03-02 15:54:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1361,rectangular hole twelv row punch card propos american standard,1966-10-01 00:00:00,,1978-03-02 15:55:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1362,code extens ascii asa tutori american standard code inform interchang ascii contain number control charact associ principl code extens represent inform directli repres mean charact code manner use charact previous complet describ paper present set mutual consist philosophi regard code extens applic suggest corollari set doctrin applic code extens charact distinct draw code extens concept graphic substitut syntact represent often use meet similar requir also cover certain topic truli concern code extens often link discuss code applic materi paper equal applic principl propos iso intern seven bite code inform interchang,1966-10-01 00:00:00,,1978-03-02 16:02:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1363,gener method systemat interv comput numer integr initi valu problem procedur give continu comput monitor step size use self start p th order numer integr method solv initi valu problem procedur use estim truncat error calcul step size martin paulson sashkin,1966-10-01 00:00:00,,1978-03-02 16:05:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1364,mathemat experiment time lag modul equat form du dt g u u h aris number scientif context author point interest properti solut u u one k sin wt sin properti obtain mean numer solut bellman buell kalaba,1966-10-01 00:00:00,,1978-03-02 16:08:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1365,elimin monoton mathemat formac formac formula manipul compil program system provid power tool perform mathemat analysi extens fortran iv permit use comput perform tediou algebra comput aris mani differ field among area success use differenti complic express expans truncat power seri solut simultan equat liter coeffici nonlinear maximum likelihood estim tensor analysi gener coeffici equat keplerian motion type analysi aros solut specif practic problem physic engin astronomi statist astronaut discuss paper addit usag specif problem solut formac also use autom analysi phase certain product program sever applic present tobey,1966-10-01 00:00:00,,1978-03-02 16:14:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1366,comput simul discuss techniqu comparison languag purpos paper present comparison comput simul languag involv compar softwar packag digit comput discuss part issu obviou user digit comput must choos avail languag write substanti cost occur particularli train implement comput time inappropri languag choose comput simul languag develop comparison evalu exist languag use design implement well user second part devot comput simul simul languag comput characterist simul discuss special attent pay distinct continu discret chang model part iii present detail comparison six simul languag packag simscript clp csl gasp cpss sol characterist summar seri tabl implic analysi design languag user implement develop conclus paper packag avail comput simul offer featur none gener purpos packag analysi strength weak suggest way current futur simul languag packag improv teichroew lubin,1966-10-01 00:00:00,,1978-03-02 16:23:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1367,charact structur charact pariti sens parallel bite data commun ascii propos american standard,1966-09-01 00:00:00,,1978-03-02 16:26:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1368,systemat gener hamiltonian circuit combinatori matrix may specifi direct nondirect arc paper describ comput program gener systemat exhaust hamiltonian circuit specif applic make travel salesman problem roberts,1966-09-01 00:00:00,,1978-03-02 16:30:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1369,half rotat n dimension euclidean space iter procedur describ determin half rotat n dimension euclidean space method variant cyclic jacobi procedur util elementari plane rotat obtain half rotat matrix numer exampl give mccamon,1966-09-01 00:00:00,,1978-03-02 16:32:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1370,linear equat exact solut algorithm two hundr nineti f four boothroyd,1966-09-01 00:00:00,,1978-03-02 16:33:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1371,logarithm gamma function algorithm two hundr nineti one fourteen pike hill,1966-09-01 00:00:00,,1978-03-23 16:24:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1372,direct search algorithm one hundr seventi eight e four bell pike,1966-09-01 00:00:00,,1978-03-23 16:25:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1373,gamma function gamma function ring one two reciproc gamma function real argument gamma function logarithm gamma function algorithm thirti four fourteen fifti four fourteen eighti fourteen two hundr twenti one fourteen two hundr nineti one fourteen pike hill,1966-09-01 00:00:00,,1978-03-23 16:28:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1374,evalu determin determin evalu algorithm forti one f three two hundr sixti nine f three bergson,1966-09-01 00:00:00,,1978-03-23 16:29:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1375,function minim algorithm two hundr fifti one e four fletcher,1966-09-01 00:00:00,,1978-03-23 16:31:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1376,modifi graeffe method algorithm two hundr fifti six c two stern,1966-09-01 00:00:00,,1978-03-23 16:32:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
1377,pseudo random number algorithm two hundr sixti six g five hansson,1966-09-01 00:00:00,,1978-03-23 18:45:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
