,.I,data,.B
596,597.0,modular data processing systems written in cobol emery  ,1962-05-01
597,598.0,the cobol librarian a key to object program efficiency hicks  many answers to the question how may a cobol compiler be forced into the generation of an efficient object program the purpose of this article is to present one possible answer the creation and full utilization of a well constructed cobol library,1962-05-01
598,599.0,a report writer for cobol donally  ,1962-05-01
599,600.0,syntactical charts of cobol 61 berman  sharp  sturges  ,1962-05-01
600,601.0,interim report on bureau of ships cobol evaluation program siegel  smith  ,1962-05-01
601,602.0,cobol and compatibility lippitt  ,1962-05-01
602,603.0,basic elements of cobol 61 sammet  ,1962-05-01
603,604.0,why cobol cunningham  ,1962-05-01
604,605.0,computer simulation of city traffic  in simulating traffic flow on city streets the national bureau of standards has used data processing techniques to tabulate and make motion pictures of vehicle movements in the model each vehicle is assigned a digital identification giving points of entry and exit type of vehicle desired speed and actual speed in proportions simulating field data changes in the model can be made to observe their consequences and to determine the ability of a real street to carry loads expected in the future,1962-04-01
605,606.0,a method for eliminating ambiguity due to signal coincidence in digital design kaiser  ,1962-04-01
606,607.0,the calculation of easter knuth  ,1962-04-01
607,608.0,permutation algorithm 71 peck  schrack  ,1962-04-01
608,609.0,permutation algorithm 71 brown  ,1962-04-01
609,610.0,sieve algorithm 35 brown  ,1962-04-01
610,611.0,permutation generator algorithm 87 howell  ,1962-04-01
611,612.0,permute algorithm 86 peck  schrack  ,1962-04-01
612,613.0,jacobi algorithm 85 evans  ,1962-04-01
613,614.0,simpson s integration algorithm 84 hennion  ,1962-04-01
614,615.0,addressing multidimensional arrays hellerman  a useful method of representing a function of n variables is to consider the function to assume its values at selected points in n dimensional space although this picture is of value to the analyst the elements of an n dimensional array must exist in conventional storage as a linear array or vector the means of performing the transformation of a set of indices locating on array element in n space to the location address of the element in its storage vector is the subject of this paper it is noted that the index address transformation is computationally identical to the conversion of a number from a fixed to a mixed radix number system several ways of implementing the transformation are described,1962-04-01
615,616.0,an information algebra phase i report language structure group of the codasyl development committee  this report represents the results of the first phase of the work of the language structure group the goal of this work is to arrive at a proper structure for a machine independent problem defining language at the systems level of data processing the report is based for the most part on a mathematical model called an information algebra developed primarily by r bosak it is hoped that this report will be read a with avid interest by programming language designers and implementors and all those interested in developing a theoretical approach to data processing b with interest and understanding by professional programmers and systems analysts and c with appreciation by the businessman analyst manager the authors have not attempted an exhaustive discourse in this report rather they have tried to present a philosophy to the professional people who are vitally concerned with providing a working language for the systems analyst s use they trust that the ideas in this report will stimulate others to think along similar lines questions and comments will be welcomed and can be addressed to any of the members of the language structure group robert bosak system development corporation richard f clippinger honeywell edp division carey dobbs remington rand univac division roy goldfinger chairman ibm corporation renee b jasper navy management office william keating national cash register george kendrick general electric company jean e sammet ibm corporation,1962-04-01
616,617.0,poseidon wheeling  any computer that forms part of a control system whether completely automatic or partly human must work at the same speed as the control system it must perform its calculations or data processing fast enough for the results to be available at the required instants in the action of the control system this known as working in real time,1962-03-01
617,618.0,computers the key to total systems control an industrial viewpoint carlson  man man machine processes are characterized in five main types and the markets for each type are shown for 1950 and 1960 and estimated for 1970,1962-03-01
618,619.0,retrieval of misspelled names in an airlines passenger record system davidson  this paper discusses the limited problem of recognition and retrieval of a given misspelled name from among a roster of several hundred names such as the reservation inventory for a given flight of a large jet airliner a program has been developed and operated on the telefile a stored program core and drum memory solid state computer which will retrieve passengers records successfully despite significant misspellings either at original entry time or at retrieval time the procedure involves an automatic scoring technique which matches the names in a condensed form only those few names most closely resembling the requested name with their phone numbers annexed are presented for the agents final manual selecton the program has successfully isolated and retrieved names which were subjected to a number of unusual as well as usual misspellings,1962-03-01
619,620.0,ratfact algorithm 78 halstead  ,1962-03-01
620,621.0,romberg integration algorithm 60 jr   ,1962-03-01
621,622.0,optimal classification of objects algorithm 83 mayoh  ,1962-03-01
622,623.0,economising a sequence 2 algorithm 82 mayoh  ,1962-03-01
623,624.0,economising a sequence 1 algorithm 81 mayoh  ,1962-03-01
624,625.0,reciprocal gamma function of real argument algorithm 80 holsten  ,1962-03-01
625,626.0,a method of representation storage and retrieval of 13 random codes in a 4 digit number or 16 random codes in a 5 digit number foster  ,1962-03-01
626,627.0,knotted list structures weizenbaum  ,1962-03-01
627,628.0,on a floating point number representation for use with algorithmic languages grau  ,1962-03-01
628,629.0,on a wired in binary to decimal conversion scheme lynch  ,1962-03-01
629,630.0,an evaluation of autocode readability ellis  of the many requirements of an autocode the pair of requirements easy to read and easy to write are not often compatible this paper argues that readability can be added automatically in the translation process so that the programmer can enjoy the utmost economy of expression while for management a full and valid cobol version is printed to give all the advantages of readability and compatibility,1962-03-01
630,631.0,automatic programming language translation through syntactical analysis ledley  wilson  ,1962-03-01
631,632.0,vectorcardiographic diagnosis with the aid of algol forsythe  groeben  toole  ,1962-02-01
632,633.0,simulation and analysis of biochemical systems iii analysis and pattern recognition garfinkel  polk  higgins  ochser  ,1962-02-01
633,634.0,manipulation of trees in information retrieval salton  ,1962-02-01
634,635.0,a note on multiplying boolean matrices baker  ,1962-02-01
635,636.0,tape splitting in an iterative program weisert  ,1962-02-01
636,637.0,a neliac generated 7090 1401 compiler watt  wattenburg  neliac systems for several different machines have been generated using the original neliac system developed at the naval electronics laboratory san diego in 1958 a basic bootstrap process was used to generate all but the first i e the systems were described in the neliac language and generated by an existing neliac compiler this experience has shown there is no inherent difficulty in building compilers with compilers indeed it pointed out many advantages in using a pol for constructing programming systems this report presents the results of a project completed in may 1961 in which the neliac system was used to generate a compiler for the ibm 1401 the 1401 compiler which runs on the 7090 and produces 1401 programs was described in the neliac language and generated with 7090 neliac system the reduction in programming time and the improvement in documentation of the system were very significant,1962-02-01
637,638.0,surge a recoding of the cobol merchandise control algorithm longo  ,1962-02-01
638,639.0,difference expression coefficients algorithm 79 giammo  ,1962-02-01
639,640.0,rational roots of polynomials with integer coefficients algorithm 78 perry  ,1962-02-01
640,641.0,interpolation differentiation and integration algorithm 77 hennion  ,1962-02-01
641,642.0,an introduction to algol schwarz  ,1962-02-01
642,643.0,simulation and analysis of biochemcial systems ii solution of differential equations larson  sellers  meyer  ,1962-01-01
643,644.0,a string language for symbol manipulation based on algol 60 wegstein  youden  an artificial computer programming language is proposed for describing the manipulation of strings of characters and symbols the concept of strings introduced in the algol 60 report is extended by adding 1 the declaration of strings substrings and string arrays with explicit lengths 2 the ability to concatenate and shift strings and 3 the ranking of symbols for comparing stings in boolean relations a primer or informal description of the language is followed by examples a description of experiments with the language on an ibm 704 computer and a formal description which taken with the algol 60 report defines the proposed string language,1962-01-01
644,645.0,invrs algorithm 66 randell  broyden  ,1962-01-01
645,646.0,inverse of a finite segment of the hilbert matrix algorithm 50 randell  ,1962-01-01
646,647.0,numerical solution of the polynomial equation algorithm 30 cohen  ,1962-01-01
647,648.0,sorting procedures algorithm 76 flores  ,1962-01-01
648,649.0,factors algorithm 75 peck  ,1962-01-01
649,650.0,curve fitting with constraints algorithm 74 peck  ,1962-01-01
650,651.0,a survey of languages and systems for information retrieval grems  ,1962-01-01
651,652.0,use of semantic structure in information systems sable  ,1962-01-01
652,653.0,translation of retrieval requests couched in a semiformal english like language jr   warshall  ,1962-01-01
653,654.0,language problems posed by heavily structured data barnes  ,1962-01-01
654,655.0,comit as an ir language yngve  many of the features that make comit a good all around symbol manipulation language also render it well suited to various types of information retrieval programs presented here is a general discussion of this unique and different programming language and an examination of some of its applications,1962-01-01
655,656.0,an information system with the ability to extract intelligence from data wang  ,1962-01-01
656,657.0,information structures for processing and retrieving colilla  sams  ,1962-01-01
657,658.0,discussion the pros and cons of a special ir language sammet  ohlman  bohnest  ,1962-01-01
658,659.0,reversion of series algorithm 193 jr   ,1963-12-01
659,660.0,more test matrices for determinants and inverses pracnique englar  ,1963-12-01
660,661.0,indexing and the lambda notation barnett  some methods of indexing sequentially stored elements of sparse multi dimensional arrays are described in the scheme a notation,1963-12-01
661,662.0,shuttle sort algorithm 175 juelich  ,1963-12-01
662,663.0,determinant algorithm 159 lapidus  ,1963-12-01
663,664.0,assignment algorithm 27 witty  ,1963-12-01
664,665.0,gauss seidel algorithm 220 shantz  ,1963-12-01
665,666.0,topological ordering for pert networks algorithm 219 kase  ,1963-12-01
666,667.0,kutta merson algorithm 218 lukehart  ,1963-12-01
667,668.0,minimum excess cost curve algorithm 217 briggs  ,1963-12-01
668,669.0,a specification of jovial shaw  ,1963-12-01
669,670.0,some legal implications of the use of computers in the banking business freed  the introduction of computers in to the banking business has a wide variety of legal implications that merit careful attention at this very early stage the industry is highly regulated by government and hence is subject to many statutes and regulations it also is affected by important common law rules established by courts the legal ramifications involve not only the mechanization itself but also the very significant economically attractive phenomenon of off premises processing it is essential to identify and provide for many legal aspects right now before systems and practices crystallize in order to avoid the later impact of unanticipated physical complications and expense the legal aspects of computerization in the banking business are especially diverse in some states there might be the basic question whether banks are authorized by law to invest in the new facilities either directly or through cooperatives more challenging are questions relating to off premises processors particularly with respect to the obligation not to disclose information concerning a bank s customers the adequacy of fidelity bond coverage the extent of liability for improper refusal to pay a check and susceptibility to regulation by government agencies also pertinent is the propriety of data processing by banks for nonbank entities and particularly of the rendering of that service without charge for bank depositors,1963-12-01
670,671.0,telefile a case study of an on line savings bank application sanders  the development of an on line computer system for a savings bank institution is traced from the early conceptual needs of the bank to the consummation of design by the teleregister corporation both bank and equipment criteria are specified which led to the development of the telefile system of the teleregister corporation operation of the on line and off line programs are described and statistics are cited for reliability and performance of the system benefits to the bank are discussed from the banker s point of view an indication of future trends in the on line savings bank field is also discussed,1963-12-01
671,672.0,recent developments affecting adp in tax administration leibowitz  ,1963-12-01
672,673.0,account classification at automating banks eckert  ,1963-12-01
673,674.0,application of ibm 1620 edp methods to the calculation of the formation constants of complex irons andrews  hassler  decou  ,1963-11-01
674,675.0,coding clinical laboratory data for automatic storage and retrieval gross  a series of clinical laboratory codes have been developed to accept and store urin analysis blood chemistry and hematology test results for automatic data processing the codes although constructed as part of a computerized hospital simulation have been able to handle the results of every laboratory test that they have encountered the unique feature of these codes is that they can accept conventionally recorded qualitative as well as quantitative test results consequently clinical test results need not be arbitrarily stratified standardized or altered in any way to be coded this paper describes how the codes were developed and presents a listing of the urin analysis codes five criteria used in developing the codes are outlined and the problem of multiple synonymous terminology is discussed a solution to the problem is described flexible computer produced composite laboratory reports are also discussed along with reproduction of such a report the paper concludes that even though many problems remain unsolved the next ten years could witness the emergence of a practical automated information system in the laboratory,1963-11-01
675,676.0,on the computation of a certain type of incompletebeta functions tang  ,1963-11-01
676,677.0,length of strings for a merge sort knuth  detailed statistics are given on the length of maximal sorted strings which result form the first internal sort phase of a merge sort onto tapes it is shown that the strings produced by an alternating method i e one which produces ascending and descending strings alternately tend to be only three fourths as long as those in a method which produces only ascending strings contrary to statements which have appeared previously in the literature a slight modification of the read backward polyphase merge algorithm is therefore suggested,1963-11-01
677,678.0,optimizing bit time computer simulation katz j  a major component of a bit time computer simulation program is the boolean compiler the compiler accepts the boolean functions representing the simulated computer s digital circuits and generates corresponding sets of machine instructions which are subsequently executed on the host computer techniques are discussed for increasing the sophistication of the boolean compiler so as to optimize bit time computer simulation the techniques are applicable to any general purpose computer,1963-11-01
678,679.0,recent improvements in madcap wells  madcap is a programming language admitting subscripts superscripts and certain forms of displayed formulas the basic implementation of this language was described in a previous paper madcap a scientific compiler for a displayed formula textbook language comm acm 4 jan 61 31 36 this paper discusses recent improvements in the language in three areas complex display logical control and subprogramming in the area of complex display the most prominent improvements are a notation for integration and for the binomial coefficients in the area of logical control the chief new feature is a notation for variably nested looping the discussion of subprogramming is focused on madcap s notation for and use of procedures,1963-11-01
679,680.0,an error correcting parse algorithm irons  ,1963-11-01
680,681.0,flexible abbreviation of words in a computer language lomis  rubin  ,1963-11-01
681,682.0,recursive programming in fortran ii ayers  ,1963-11-01
682,683.0,a serial technique to determine minimum paths weimer  ,1963-11-01
683,684.0,interpolation differentiation and integration algorithm 77 hennion  ,1963-11-01
684,685.0,euler summation algorithm 8 jr   ,1963-11-01
685,686.0,smooth algorithm 216 george  ,1963-11-01
686,687.0,shanks algorithm 215 jr   ,1963-11-01
687,688.0,q bessel functions in t algorithm 214 pereira  ,1963-11-01
688,689.0,report of a visit to discuss common programming languages in czechoslovakia and poland 1963 gosden  merner  gay  jones  christopher  ,1963-11-01
689,690.0,usa participation in an international standard glossary on information processing traub  ,1963-11-01
690,691.0,a description of the apt language brown  drayton  mittman  the apt automatically programmed tools language for numerical control programming is described using the metalinguistic notation introduced in the algol 60 report examples of apt usage are included presented also are an historical summary of the development of apt and a statement concerning its present status,1963-11-01
691,692.0,on the inverse of a test matrix stockmal  ,1963-10-01
692,693.0,an extension of fibonaccian search to several variables krolak  cooper  a technique which uses fibonaccian search concepts has been developed to solve optimization problems involving unimodal functions of several variables the technique has not been proven to be optimal in the sense that the one dimensional fibonaccian search is however it is valuable for certain kinds of calculations,1963-10-01
693,694.0,a comparison of disks and tapes hess  the principal characteristics of current magnetic disks and tape units are summarized and compared some of the characteristics of disk files are illustrated in a sorting example and compared to a tapesort the conclusion is presented that disk files are competitive to tapes in some important applications,1963-10-01
694,695.0,use of the disk file on stretch carlson  voorhes  the paper begins by briefly describing the stretch ibm 7030 computer with special emphasis given to the organization and operation of its input output equipment physical characteristics of the two disk system 4 194 304 72 bit words 8 usec per word transmission rate etc are noted timing limitations due to arm motion and disk rotation are discussed applications of disk usage are discussed separately for problem programs and for systems programs such as compilers and the supervisory program approximately 260 000 words of disk storage are reserved for the storage of systems programs and the subroutine library problem programs however are not currently filed on the disk certain programming techniques are discussed for transmitting words between disk and core storage with minimum delaying and interruption of the arithmetic unit dumps on disk are considered for both recovery from computer malfunction and for mathematical or physical developments during the calculation some comments are made regarding the reliability economics utility and weaknesses or limitations of the disk system several possible future applications are noted which appear to have disk connotations,1963-10-01
695,696.0,an automatic data acquisition and inquiry system using disk files edwards  lockheed missiles and space company has installed a large scale automatic data acquisition ada system which ties together the company s manufacturing facilities located in van nuys and sunnyvale california the system includes over 200 remote input stations which collect and transmit company operating data to a central data processing center two rca 301 edp systems are used to record and control the flow of data transmitted to the data processing center a large capacity rca 366 data disc file is used to store information required to provide up to date information in response to inquiries received from remotely located inquiry stations in addition to storage of data on the disk files the system automatically records all incoming and outgoing data on magnetic tape to be used as input to the company s conventional off line business data processing applications,1963-10-01
696,697.0,a numerical method for the determination of moving field isodose curves for treatment planning in radiotherapy dalrymple  perez tamayo  ,1963-10-01
697,698.0,data dial two way communication with computers from ordinary dial telephones marill  edwards  feurzeig  an operating system is described which allows users to call up a remotely located computer from ordinary dial telephones no special hardware or connections are required at the users telephones input to the computer is through the telephone dial output from the computer is in spoken form results of a test with telephones in the boston area are reported,1963-10-01
698,699.0,a contour map program for x ray crystallography dayhoff  a fortran program is described for use with the ibm 7090 system and an x y plotter to produce a contour map a matrix of points evenly spaced in each dimension is contoured scale factors along the axes may be different and the axes need not be perpendicular,1963-10-01
699,700.0,hermite interpolation algorithm 210 dwyer  ,1963-10-01
700,701.0,shuttle sort algorithm 175 schubert  ,1963-10-01
701,702.0,assign algorithm 173 filsak  vrchovecka  ,1963-10-01
702,703.0,assign algorithm 173 scowen  ,1963-10-01
703,704.0,combinatorial of m things taken one at a time two at a time up to n at a time algorithm 161 collins  ,1963-10-01
704,705.0,combinatorial of m things taken n at a time algorithm 160 blakely  ,1963-10-01
705,706.0,fourier series approximation algorithm 157 schubert  ,1963-10-01
706,707.0,erf x algorithm 123 ibbetson  ,1963-10-01
707,708.0,evaluation of the fresnel integrals algorithm 88 89 90 gray  ,1963-10-01
708,709.0,assignment algorithm 27 newhouse  ,1963-10-01
709,710.0,fresnel integrals algorithm 213 gray  ,1963-10-01
710,711.0,frequency distribution algorithm 212 gray  ,1963-10-01
711,712.0,hermite interpolation algorithm 211 schubert  ,1963-10-01
712,713.0,lagrangian interpolation algorithm 210 schubert  ,1963-10-01
713,714.0,gauss algorithm 209 ibbetson  ,1963-10-01
714,715.0,discrete convolution algorithm 208 jr   ,1963-10-01
715,716.0,stringsort algorithm 207 boothroyd  ,1963-10-01
716,717.0,partitioning algorithms for finite sets hutchinson  the partitions of a set with n elements are represented by certain n tuples of positive integers algorithm are described which generate without repetitions the n tuples corresponding to 1 all partitions of the given set 2 all partitions of the given set into m or fewer sets 1 m n and 3 all partitions of the given set into exactly m sets 1 m n,1963-10-01
717,718.0,an experiment in automatic verification of programs weinberg  gressett  how effective is a compiler at replacing explicit verification and what is the cost of this technique,1963-10-01
718,719.0,variable width stacks rotenberg  opler  character addressable variable field computers permit ready establishment and manipulation of variable width stacks single machine commands may push variable field items down into such stacks or pop them up the availability of a variety of field delimiters allows the machine to push down or pop up more than one variable width item with one command since these stacking operations can be made the basis of compiler decoding algorithms the proper use of machines of this class for compilation has advantages over machines with fixed length words,1963-10-01
719,720.0,format free input in fortran bailey  barnett  futrelle  ,1963-10-01
720,721.0,report on proposed american standard flowchart symbols for information processing rossheim  this paper presents the essential contents of the proposed american standard flowchart symbols for information processing this is the first proposed standard prepared by subcommittee x3 6 on problem description and analysis of the american standards association asa,1963-10-01
721,722.0,alcor group representation of algol symbols  ,1963-10-01
722,723.0,ecma subset of algol 60  ,1963-10-01
723,724.0,a profile of the programmer  synopsis 549 members of the acm participated in a study concerned primarily with the attitudes of programmers toward their careers and jobs a very high percentage of programmers have apparently entered their careers by accident it has proven a happy choice for most and they expect to remain in the field during the next five years their principal job satisfactions relate to the nature of their work and mostfind their jobs offer high level of professional interest and good working conditions salary and advancement prospects however are not as satisfactory more than half report a positive attitude toward programmers and programming on the part of their organizations turnover among themselves is attributed primarily to poor management salary is seen as the principal motivating factor in turnover among other programmers nature of the work offered and salary are principal determinants in accepting a new job programmers are less mobile than expected programmers tend to see their colleagues in a favorable light on the whole personalities seem to vary with function systems programmers differing from applications programmers four principal problems for programming in the immediate future are listed by participants languages personnel various specific applications and techniques and building programming as a profession,1963-10-01
724,725.0,group participation computer demonstration mccormick  ,1963-10-01
725,726.0,a general program for the analysis of square and rectangular lattice designs smillie  this paper describes a general purpose program that will handle those incomplete block designs known as square and rectangular lattices flow diagrams are given so that the method of calculation may be programmed for any digital computer,1963-09-01
726,727.0,on the approximate solution of delta u f u greenspan  yohe  three dimensional dirichlet problems for delta u f u fu 0 are treated numerically by an exceptionally fast exceptionally accurate numerical method programming details numerous examples and mathematical theory are supplied extension of the method in a natural way to n dimensional problems is indicated by means of a 4 dimensional example,1963-09-01
727,728.0,computer drawn flowcharts knuth  to meet the need for improved documentation of written computer programs a simple system for effective communication is presented which has shown great promise the programmer describes his program in a simple format and the computer prepares flow charts and other cross referenced listings from this input the description can be kept up to date easily and the final output clearly explains the original program the system has also proved to be a valuable debugging and coding aid,1963-09-01
728,729.0,a generalization of algol wirth  ,1963-09-01
729,730.0,mirfag a compiler based on standard mathematical notation and plain english gawlik  a pilot version of the compiler mirfag now in operation is described the chief features of the system which is intended for the solution of scientific problems are the presentation of mathematical formulas entirely in standard textbook notation the use of plain english for organizational instructions automatic error diagnosis indicating the actual location of the error in the uncompiled program and an attempt to minimize that fragmentation of the original problem statement which is a normal feature of programming systems,1963-09-01
730,731.0,symmetric list processor weizenbaum  a list processing system in which each list cell contains both a forward and a backward link as well as a datum is described this system is intended for imbeding in higher level languages capable of calling functions and subroutines coded in machine language the presentation is in the form of fortran programs depending on only a limited set of fortran programs depending on only a limited set of primitive machine language subroutines which are also defined finally a set of field particularly character manipulation primitives are given to round out the system,1963-09-01
731,732.0,monte carlo inverse algorithm 166 rodman r  ,1963-09-01
732,733.0,newton interpolation with forward divided differences algorithm 169 jr   ,1963-09-01
733,734.0,newton interpolation with backward divided differences algorithm 168 jr   ,1963-09-01
734,735.0,calculation of confluent divided differences algorithm 167 jr   ,1963-09-01
735,736.0,modified hankel functions algorithm 163 jr  h  ,1963-09-01
736,737.0,exponentiation of series algorithm 158 lawrence  ,1963-09-01
737,738.0,fourier series approximation algorithm 157 george  ,1963-09-01
738,739.0,minifun algorithm 129 wasscher  ,1963-09-01
739,740.0,interest algorithm 45 wright  ,1963-09-01
740,741.0,evaluation of determinant algorithm 41 freed  ,1963-09-01
741,742.0,evaluation of determinant algorithm 41 freed  ,1963-09-01
742,743.0,arccosin algorithm 206 konda  ,1963-09-01
743,744.0,ative algorithm 205 haubrich  ,1963-09-01
744,745.0,steep2 algorithm 204 wasscher  ,1963-09-01
745,746.0,steep1 algorithm 203 wasscher  ,1963-09-01
746,747.0,generation of permutations in lexicographical order algorithm 202 shen  ,1963-09-01
747,748.0,a semi iterative process for evaluating arctangents chu  saathoff  ,1963-09-01
748,749.0,note onstochastic matrices dumey  ,1963-09-01
749,750.0,pei matrix eigenvectors newbery  ,1963-09-01
750,751.0,a note on a set of test matrices for inversion rodman  ,1963-09-01
751,752.0,closing out a print tape moore  ,1963-09-01
752,753.0,a procedure for converting logic table conditions into an efficient sequence of test instructions egler  ,1963-09-01
753,754.0,ye indiscreet monitor blatt  ,1963-09-01
754,755.0,an exponential method of numerical integration of ordinary differential equations pope  a formula for numerical integration is prepared which involves an exponential term this formula is compared to two standard integration methods and it is shown that for a large class of differential equations the exponential formula has superior stability properties for large step sizes thus this formula may be used with a large step size to decrease the total computing time for a solution significantly particularly in those engineering problems where high accuracy is not needed,1963-08-01
755,756.0,a computer program for editing the news danielson  briggs  ,1963-08-01
756,757.0,simulation of a traffic network katz  ,1963-08-01
757,758.0,skeletal structure of pert and cpa computer programs kahn  an introduction to the inner mechanics of pert and cpa computer programs is provided the major components of these programs as well as their purposes and interrelationships are outlined,1963-08-01
758,759.0,continued operation notation for symbol manipulation and array processing barnett  a brief account is given of a notational device that is very useful in the formal representation of syntaxes string relationships and string transformation procedures and also of computing procedures that deal with arrays of functions of many variables the device consists of the use of certain continued operation or collective symbols that are analogous to the summation symbol sigma and continued multiplication symbol pi of conventional mathematics,1963-08-01
759,760.0,dialects of fortran pyle  ,1963-08-01
760,761.0,a note on the dangling else in algol 60 jr   some revisions of algol 60 are proposed which not only eliminate certain ambiguous statements but also add some convenience to the language a discussion of the background of the problem and a sketch of a proof that the ambiguities have been removed is included,1963-08-01
761,762.0,some remarks on the syntax of symbolic programming languages diforino  ,1963-08-01
762,763.0,a syntax controlled generator of formal language processors eickel  bauer  paul  samelson  ,1963-08-01
763,764.0,reduction of a matrix containing polynomial elements algorithm 170 hennion  ,1963-08-01
764,765.0,orthogonal polynomial least squares surface fit algorithm 164 bitterli  ,1963-08-01
765,766.0,xy move plotting algorithm 162 fletcher  ,1963-08-01
766,767.0,certification of algorithm 161 combinatorial of m things taken one at a time two at a time up to n at a time m l wolfson and h v wright comm acm apr 1963 thoro  ,1963-08-01
767,768.0,certification of algorithm 160 combinatorial of m things taken n at a time m l wolfson and h v wright comm acm apr 1963 thoro  ,1963-08-01
768,769.0,algebra of sets algorithm 156 bosworth  ,1963-08-01
769,770.0,combination in any order algorithm 155 bosworth  ,1963-08-01
770,771.0,combination in lexicographical order algorithm 154 bosworth  ,1963-08-01
771,772.0,gomory algorithm 153 lefkowitz  d esopo  ,1963-08-01
772,773.0,matrix inversion algorithm 140 george  ,1963-08-01
773,774.0,jacobi algorithm 85 naur  ,1963-08-01
774,775.0,interpolation differentiation and integration algorithm 77 hennion  ,1963-08-01
775,776.0,partition quicksort and find algorithm 62 64 65 randell  russell  ,1963-08-01
776,777.0,a set of test matrices algorithm 52 naur  ,1963-08-01
777,778.0,associated legendre functions of the first kind for real or imaginary arguments algorithm 47 george  ,1963-08-01
778,779.0,crout ii algorithm 43 domingo  rodriguez gil  ,1963-08-01
779,780.0,algorithm 42 invert alg 107 gauss s method alg 120 inversion ii and gjr naur  ,1963-08-01
780,781.0,telescope 2 algorithm 38 bridges  ,1963-08-01
781,782.0,telescope 1 algorithm 37 bridges  ,1963-08-01
782,783.0,shellsort algorithm 201 boothroyd  ,1963-08-01
783,784.0,normal random algorithm 200 george  ,1963-08-01
784,785.0,conversions between calendar date and julian day number algorithm 199 tantzen  ,1963-08-01
785,786.0,adaptive integration and multiple integration algorithm 198 mckeeman  ,1963-08-01
786,787.0,matrix division algorithm 197 wells  ,1963-08-01
787,788.0,muller s method for finding roots of an arbitrary function algorithm 196 roman  ,1963-08-01
788,789.0,bandsolve algorithm 195 thurnau  ,1963-08-01
789,790.0,zersol algorithm 194 domingo  ,1963-08-01
790,791.0,character manipulation in 7090 fortran smith  ,1963-08-01
791,792.0,multiple precision binary to decimal integer conversion using only addition and subtraction keyes  moore  ,1963-08-01
792,793.0,mapped list structures baecker  ,1963-08-01
793,794.0,a list type storage technique for alphameric information bowlden  a method which is economic in terms of space and time is proposed for the storage and manipulation of character strings of arbitrary length in a fixed word length computer the method is illustrated in an application to algol type identifiers in an algol like block structure,1963-08-01
794,795.0,debugging systems at the source language level ferguson  berner  ,1963-08-01
795,796.0,sabrag a time sharing low cost computer lehman  netter  eshed  the serial sabrac computer designed and built in the scientific department of the israel defense ministry has a 5000 location magnetic drum main store to avoid a need to resort to optimum programming techniques and to increase its overall efficiency the computer has also been given a 224 word ferrite core store from which the program is obeyed transfers between the core and drum stores and to and from the twin paper tape input and output channels are all available autonomously concurrently time shared multiplication and division orders are also autonomous so that the machine may be executing up to three orders simultaneously all functions naturally are interlocked a number of other advanced orders and facilities are also incorporated in particular an execute order permits a temporary jump for up to four orders and a second modifier register permits double modification in general and relative addressing of subroutines in particular thus the overall effective speed of the machine is muchhigher than its basic specification would lead one to expect and its design indicates one way in which the concepts of time sharing may be incorporated in low cost computers,1963-08-01
796,797.0,american standard code for information interchange  ,1963-08-01
797,798.0,a catalogue entry retrieval system scheff  ,1963-07-01
798,799.0,design of a separable transition diagram compiler conway  a cobol compiler design is presented which is compact enough to permit rapid one pass compilation of a large subset of cobol on a moderately large computer versions of the same compiler for smaller machines require only two working tapes plus a compiler tape the methods given are largely applicable to the construction of algol compilers,1963-07-01
799,800.0,the linking segment subprogram language and linking loader mccarthy  corbato  daggett  ,1963-07-01
800,801.0,least squares solution with constraints algorithm 177 synge  ,1963-07-01
801,802.0,syminv2 algorithm 150 rutishauser  ,1963-07-01
802,803.0,syminv2 algorithm 150 jr   ,1963-07-01
803,804.0,exponentiation of series algorithms 134 jr   ,1963-07-01
804,805.0,newton maehly algorithm 105 kondo  ,1963-07-01
805,806.0,remark on certification of matrix inversion procedures moler  ,1963-07-01
806,807.0,reversion of series algorithm 193 fettis  ,1963-07-01
807,808.0,confluent hypergeometric algorithm 192 relph  ,1963-07-01
808,809.0,hypergeometric algorithm 191 relph  ,1963-07-01
809,810.0,complex power algorithm 190 relph  ,1963-07-01
810,811.0,smoothing 2 algorithm 189 gil  ,1963-07-01
811,812.0,smoothing 1 algorithm 188 rodriguez gil  ,1963-07-01
812,813.0,differences and derivatives algorithm 187 riet  ,1963-07-01
813,814.0,complex arithmetic algorithm 186 riet  ,1963-07-01
814,815.0,normal probability for curve fitting algorithm 185 colker  ,1963-07-01
815,816.0,erlang probability for curve fitting algorithm 184 colker  ,1963-07-01
816,817.0,nexcom algorithm 152 hopley  ,1963-07-01
817,818.0,realizing boolean connectives on the ibm 1620 hellerman  senzig  ,1963-07-01
818,819.0,polynomial evaluation revised eisman  ,1963-07-01
819,820.0,checking for loops in networks gordon  ,1963-07-01
820,821.0,further remarks on sampling a tape file iii juelich  ,1963-07-01
821,822.0,real time programming specifications head  problems in the implementation of large real time applications are treated and suggested guidelines for both program and file specifications are developed the problems delineated also occur in systems programming,1963-07-01
822,823.0,a syntactic description of bc nelliac huskey  love  wirth  ,1963-07-01
